"","Brain_id","Section","Region","Num_Cells","Region_Area","Density"
"1","5407_Annotations.tsv","1.czi","CNU",274,8.9033946,30.7747788691742
"2","5407_Annotations.tsv","1.czi","CTX",444,8.537094,52.0083297665459
"3","5407_Annotations.tsv","1.czi","HY",11,1.0638391,10.3399094844324
"4","5407_Annotations.tsv","1.czi","HPF",0,0.0197535,0
"5","5407_Annotations.tsv","2.czi","HPF",0,0.022515,0
"6","5407_Annotations.tsv","2.czi","CNU",214,8.7490225,24.459875374649
"7","5407_Annotations.tsv","2.czi","CTX",431,8.4252387,51.155820665354
"8","5407_Annotations.tsv","2.czi","HY",8,0.928334,8.61758806636405
"9","5407_Annotations.tsv","3.czi","CNU",118,6.0013705,19.66217549808
"10","5407_Annotations.tsv","3.czi","CTX",587,9.2205864,63.6618946491299
"11","5407_Annotations.tsv","4.czi","CNU",194,7.8988373,24.5605767826108
"12","5407_Annotations.tsv","4.czi","CTX",460,7.9594855,57.7926801927084
"13","5407_Annotations.tsv","4.czi","HY",0,0.0377821,0
"14","5407_Annotations.tsv","4.czi","HPF",0,0.0276533,0
"15","5407_Annotations.tsv","5.czi","TH",0,0.2742414,0
"16","5407_Annotations.tsv","5.czi","HY",13,1.3948356,9.32009478393009
"17","5407_Annotations.tsv","5.czi","HPF",4,0.015869,252.06377213435
"18","5407_Annotations.tsv","5.czi","CNU",193,7.0926763,27.211167102043
"19","5407_Annotations.tsv","5.czi","CTX",563,8.9223181,63.1001936593137
"20","5407_Annotations.tsv","6.czi","CNU",170,4.9243062,34.5226298072204
"21","5407_Annotations.tsv","6.czi","CTX",575,9.4362367,60.9353090941434
"22","5407_Annotations.tsv","6.czi","HPF",2,0.0109598,182.485081844559
"23","5407_Annotations.tsv","6.czi","TH",6,1.9584541,3.06364085836885
"24","5407_Annotations.tsv","6.czi","HY",7,1.889856,3.70398591215415
"25","5407_Annotations.tsv","7.czi","HPF",102,1.9725631,51.7093724403544
"26","5407_Annotations.tsv","7.czi","CNU",40,2.8757186,13.9095668122743
"27","5407_Annotations.tsv","7.czi","CTX",662,11.62276,56.9572115401161
"28","5407_Annotations.tsv","7.czi","TH",42,4.3749784,9.60004739680543
"29","5407_Annotations.tsv","7.czi","HY",19,2.0771583,9.14711218687569
"30","5407_Annotations.tsv","8.czi","CNU",31,2.2433367,13.8187014013545
"31","5407_Annotations.tsv","8.czi","CTX",632,11.5255737,54.8345805987948
"32","5407_Annotations.tsv","8.czi","HPF",104,2.1784427,47.7405258352675
"33","5407_Annotations.tsv","8.czi","TH",50,4.3653332,11.4538793968809
"34","5407_Annotations.tsv","8.czi","HY",34,2.1850534,15.56026044947
"35","5407_Annotations.tsv","9.czi","CNU",71,1.7995139,39.455099513263
"36","5407_Annotations.tsv","9.czi","CTX",644,11.619772,55.4227742162239
"37","5407_Annotations.tsv","9.czi","TH",73,4.3148493,16.918319719764
"38","5407_Annotations.tsv","9.czi","HY",23,2.2740184,10.1142541326842
"39","5407_Annotations.tsv","9.czi","HPF",171,2.5364749,67.4163974577474
"40","5407_Annotations.tsv","10.czi","CTX",633,14.5054361,43.6388120726684
"41","5407_Annotations.tsv","10.czi","MB",51,4.8334146,10.5515467264075
"42","5407_Annotations.tsv","10.czi","HPF",242,6.3827571,37.9146497678879
"43","5407_Annotations.tsv","10.czi","TH",14,1.082321,12.9351643366432
"44","5407_Annotations.tsv","10.czi","HY",1,0.6038152,1.65613585083648
"45","5407_Annotations.tsv","11.czi","HPF",162,4.0217416,40.2810563463351
"46","5407_Annotations.tsv","11.czi","CTX",587,13.2534067,44.2904992872512
"47","5407_Annotations.tsv","11.czi","MB",25,2.073622,12.0561992494293
"48","5407_Annotations.tsv","11.czi","TH",39,2.3628362,16.5055876492835
"49","5407_Annotations.tsv","11.czi","HY",20,2.3189493,8.62459563044349
"50","5407_Annotations.tsv","12.czi","TH",23,1.6987691,13.5392149527561
"51","5407_Annotations.tsv","12.czi","HY",34,1.5998295,21.2522646944565
"52","5407_Annotations.tsv","12.czi","HPF",206,5.5964387,36.8091229159715
"53","5407_Annotations.tsv","12.czi","CTX",659,14.3163905,46.0311556883001
"54","5407_Annotations.tsv","12.czi","MB",33,3.297357,10.0080155106044
"55","5420_Annotations.tsv","1.czi","HY",6,0.8698696,6.89758556914738
"56","5420_Annotations.tsv","1.czi","CNU",290,9.9998997,29.0002908729175
"57","5420_Annotations.tsv","1.czi","CTX",564,9.6601129,58.3844108074555
"58","5420_Annotations.tsv","1.czi","HPF",0,0.0269358,0
"59","5420_Annotations.tsv","2.czi","CNU",246,10.8919875,22.5854096876259
"60","5420_Annotations.tsv","2.czi","CTX",669,10.4943774,63.7484220836197
"61","5420_Annotations.tsv","2.czi","HY",0,0.1077013,0
"62","5420_Annotations.tsv","2.czi","HPF",2,0.0358878,55.7292450359175
"63","5420_Annotations.tsv","3.czi","HPF",4,0.0374153,106.908136510999
