ImageNumber,ObjectNumber,FileName_Raw,PathName_Raw,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,AAV10_7D_MCAO_Contra.tif,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,7627,20100,724,255,574,121,641.0502163366986,195.5780778812115,9.655254646612182,12745,0.6205736052561669,98.54439612527486,-5,0.379452736318408,0.10357054646413476,126.6496155021457,155.08062419270823,25.96150997149434,7.404734047392385,5.0,117.7902105381858,99.31206809906713,56.91455937858529,961.9747468305833,0.5984307571596704,0.40274825094848327,0.03546938641798017,0.1802736034951358,0.028654123284500375,0.024333796209081344,0.008890534002259682,0.03485553392431286,0.0376192931968873,0.020906114946781584,0.017586263708188478,0.006470562717722265,0.007345201896575406,0.0018206613462916205,0.012183686178101106,0.011414952160346294,0.0023569545253037893,0.005612029391754276,0.012812961772599751,0.013444345055169686,0.004246217346578144,0.007647635939797045,0.00881855134391623,0.007672593736223459,0.00796261199824245,0.006082281827427474,0.007415665636795108,0.0027520289791374067,0.011487583111473623,0.0021495124728653178,0.0013264440246378592,641.0502163366986,195.5780778812115,0,1
1,2,AAV10_7D_MCAO_Contra.tif,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,5686,13527,936,351,769,270,847.7147379528667,311.389905029898,12.369967214730144,10210,0.8910115157074223,85.08607436804294,-2,0.42034449619279957,0.08084095799455322,164.00924964903243,167.69317219254933,14.866068747318506,4.4064878617018115,3.605551275463989,74.2659412286156,74.4570344867545,86.76316607494329,940.1402230514273,0.5569049951028403,0.2566405336464983,0.014960288041810944,0.10739497759080474,0.04896394544002757,0.0162805174468215,0.003998418267867261,0.03438800416581332,0.029534786263940977,0.016971289248786763,0.016049441482900707,0.010568376675999863,0.005688323766455659,0.014059825750165778,0.011081389544371259,0.005729913608943955,0.005996897578586076,0.012697623426845531,0.01328747025229697,0.01019010549921371,0.005827508134775418,0.0014343566800289744,0.0043272693028467086,0.014389695183977846,0.003009048888663781,0.0016817136341164619,0.006877368298914321,0.004513182913019952,0.01578780891608184,0.0065949701293588235,0.005270250503992112,847.7147379528667,311.389905029898,0,2
1,3,AAV10_7D_MCAO_Contra.tif,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,11872,21717,478,579,307,452,388.95881064690025,515.3311994609164,3.328994470832367,14320,0.6923220124735742,122.94673592696901,-4,0.5466685085416955,0.30039100658222617,150.99175114409235,170.17931719218996,37.8021163428716,11.939729773751383,10.0,118.46222966215002,108.95393922971446,-81.80779441324634,704.7310601229375,0.829050279329609,0.5211753565301409,0.01998156063094146,0.20817703699633794,0.04960831726358019,0.00682223495297415,0.012173920695964088,0.0036975236920431085,0.015481804072015905,0.027787951001107907,0.01425331952977734,0.018565534800699033,0.004248007103448456,0.032052796724951434,0.016430418395535943,0.013860431628708576,0.017295370132137642,0.004277448165533083,0.007333241407190184,0.01093064417541243,0.00047558037120476053,0.005944989268749163,0.010253907515822534,0.006803249431584457,0.01269357824051034,0.009855227881191982,0.005039590549298872,0.010264863552222586,0.012091386866700594,0.00040205656844765654,0.002255115052045976,388.95881064690025,515.3311994609164,0,3
1,4,AAV10_7D_MCAO_Contra.tif,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,10145,21228,280,598,97,482,185.5025135534746,533.2859536717594,14.070901404966044,14636,0.8152760944214521,113.65304739134022,-12,0.47790653853401166,0.07106865233573947,167.0589405289349,182.02472359545007,23.08679276123039,5.88287036064029,4.47213595499958,113.62807683431802,96.73922818570064,-89.12877748716228,1339.3433252192572,0.6931538671768243,0.3897381904054574,0.016053030522253084,0.1694023196099667,0.05440403866275531,0.020243671240744755,0.007852656498007208,0.02405240054191317,0.032565078729664576,0.022025473063941092,0.016252463522234726,0.012461122073056887,0.006144614553815942,0.008056391173777197,0.012350648049301435,0.015638351454131578,0.010563795870916406,0.013736937790393578,0.005187259864132267,0.006923823445847849,0.004942425324632726,0.008923367725251893,0.011626842243028155,0.0041654708099004255,0.007944614843858092,0.006563992019806021,0.003380227101326097,0.004594073052956065,0.0047710801002725,0.006916490756871688,0.0032080565164648556,185.5025135534746,533.2859536717594,0,4
1,5,AAV10_7D_MCAO_Contra.tif,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,10114,18060,666,644,537,504,599.0198734427527,564.6409926834091,7.5007982425303235,14690,0.45599095409787055,113.47927015737912,-3,0.5600221483942415,0.13331914386523472,129.9161836955783,157.8923684032892,38.18376618407357,10.0424690766317,7.0710678118654755,124.97335027489561,115.62337807662824,-3.610219435891202,976.3828637385466,0.6884955752212389,0.5163629368295785,0.024495706440986066,0.20098349887877576,0.01706558369287898,0.007011873306692182,0.03135111012692748,0.010659430560835376,0.017261816926120294,0.026192851480351224,0.011345511234319502,0.02171463879384682,0.0006648123966883664,0.02292279131363992,0.0034232555520012672,0.01898597320542831,0.009613403932011927,0.0025018636591393703,0.003839338366176809,0.0020826731354562115,0.0032747429342250586,0.010610949276348173,0.009837287285760568,0.0013732763407545117,0.011484035183798853,0.01094077755947502,0.008100453651716483,0.00486371590339422,0.0048426006051079705,0.0025331358943661256,0.006447231241180895,599.0198734427527,564.6409926834091,0,5
1,6,AAV10_7D_MCAO_Contra.tif,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,10156,20410,549,650,419,493,482.8135092556125,574.1313509255613,10.70726322847162,13832,0.7909646613395773,113.71464644596277,-10,0.49759921607055363,0.0933945471090041,162.15552809261362,175.31685600648902,22.360679774997898,6.3507455601544285,5.0990195135927845,111.9069067393191,99.21677889230257,-39.474884030301816,1168.9757928511099,0.7342394447657605,0.4199030683743257,0.06528476182213866,0.15326590110660765,0.052828209908208974,0.03331820813932462,0.01802773264669446,0.006712687385209327,0.030351089266054666,0.012554615480368073,0.009520284738842503,0.015148232579042601,0.007014448683505508,0.0033281539577089607,0.0017123721096191312,0.016942478476049745,0.005937215221797591,0.019513697888626714,0.00606354466491844,0.0019508168680844632,0.00961273737518176,0.0023665024089085662,0.007055508808402877,0.011019247316828388,0.004311924888617937,0.011708742784696016,0.008609793647562456,0.003620828428039526,0.005465133325256487,0.011407586111261662,0.005329461532373304,482.8135092556125,574.1313509255613,0,6
1,7,AAV10_7D_MCAO_Contra.tif,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,18276,39168,620,808,364,655,486.9549135478223,740.933191070256,18.53131645383377,28159,0.8372887252213103,152.5441769441883,-18,0.46660539215686275,0.05396270699338899,235.91899772802094,256.2225595063791,38.01315561749642,8.150629146642505,5.385164807134504,145.58553724014243,128.99130700809525,74.8920365745352,2062.997220875919,0.6490287297134131,0.34788750774430566,0.04128030639302014,0.15010241215577547,0.04783426599007565,0.028634918101422453,0.020707023658620767,0.033618223285155784,0.036562284404624355,0.0037595495647786276,0.002746624049982184,0.022457387286417507,0.013768311054983134,0.01934641635572018,0.01274120872122295,0.0012440125972820822,0.006852192232524507,0.010631325450392935,0.009737586762344026,0.013474856632259082,0.007090500179154887,0.008354279917419338,0.006239334351847974,0.00416929014016408,0.0066478220678560795,0.003500542144114577,0.0063877177218049945,0.00783102148968018,0.004595080480932122,0.007887081459698358,0.003782082262639205,486.9549135478223,740.933191070256,0,7
1,8,AAV10_7D_MCAO_Contra.tif,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,12507,29659,830,923,607,790,719.7325497721276,864.5918285759974,11.527185643839708,19631,0.8205660320188686,126.19194501236076,-12,0.42169324656933815,0.08675144401221768,190.30379884154445,222.05629916757596,23.345235059857504,6.78029699832367,5.830951894845301,125.25534467583813,108.76846662394661,-76.34854063949429,1345.9940828143394,0.6371045794916204,0.32289968376793715,0.005689905587239102,0.1654624701176608,0.03996921318093368,0.0047663275051031085,0.012101689186186124,0.045971824311004494,0.03791958727966849,0.013818336649377726,0.0034299227003278475,0.022445636485358512,0.007257652661740694,0.0010016061093974966,0.020589896185844433,0.007076119318800664,0.010164559209664494,0.0035414924206952194,0.015515847074349155,0.014512576763931787,0.003600671915169143,0.007138229280789453,0.005877883063051269,0.0039154327774340945,0.0072202221969332285,0.007268045339698693,0.0057200101770981246,0.005728351080358871,0.012384506997873789,0.00585528157803246,0.002081345452505228,719.7325497721276,864.5918285759974,0,8
1,9,AAV10_7D_MCAO_Contra.tif,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,6788,14469,970,946,811,855,884.664997053624,900.7719505008839,10.175697081178567,10530,0.8792637254531795,92.96639193634591,-6,0.4691409219711106,0.09827336564977406,152.05748889629038,159.66527487215245,19.849433241279208,5.37343565950227,4.242640687119285,86.29012342939286,72.43034688940752,79.42064366023614,931.6610383315985,0.6446343779677113,0.3389245498989062,0.022685518078929462,0.14746165342003342,0.06068660964575468,0.015328491682996635,0.007187202725696576,0.025946964839912802,0.049169359567696955,0.019338683535675336,0.012196598023945687,0.006996554929202818,0.004951330253807315,0.0009536357533683395,0.010896054299282585,0.012409008090287063,0.009256795031284782,0.009218311169725268,0.01025989916041385,0.009053478297547055,0.0012845953347231118,0.0028689668284330233,0.0043022120574260116,0.004434295983742246,0.00794681618594337,0.005220124465685482,0.005329271288407842,0.011814483432012317,0.005990774506467458,0.0062529051599645976,0.0006940151059384457,884.664997053624,900.7719505008839,0,9
2,1,AAV10_7D_MCAO_Ctx.tif,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,23110,63600,627,455,203,305,457.47395067070534,378.73323236694074,11.992076407085785,40404,0.9551733951716542,171.53590259426628,-7,0.36336477987421384,0.08338839464107549,377.42517380830526,424.7034259339098,45.18849411078001,11.911925855733779,8.54400374531753,137.27390402112601,111.73556426170872,79.79881413103239,1866.173844385056,0.571973071973072,0.16313176516900874,0.038296652717454256,0.07508832979349078,0.03200268978574103,0.0412927257411802,0.010785122570039827,0.020904649196930587,0.02468616105747957,0.015513737846776473,0.031220860214769396,0.013675431894628609,0.006083480752176065,0.0008670820154453479,0.010360263493845893,0.014032867073550559,0.009403382987015759,0.018712132596698235,0.010690193523789917,0.008550390761304684,0.0040620828529297865,0.009683247854934946,0.005649447569206072,0.005420970281601793,0.00912521604522557,0.006330292447958157,0.007910492180923177,0.00628764161167131,0.00645855803164767,0.006501016062002609,0.0028109814657566925,457.47395067070534,378.73323236694074,0,1
