Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: AF594 mean	Cell: AF594 std dev	Cell: AF594 max	Cell: AF594 min	Cytoplasm: AF594 mean	Cytoplasm: AF594 std dev	Cytoplasm: AF594 max	Cytoplasm: AF594 min
1.czi	f8b75415-4bf7-4d27-adfc-c604cb68a9e3	Cell			CNU	Polygon	2901.2	991.49	2024.0591	168.9062	0.8915	56.7961	48.796	0.4745	674.5875	256.3472	1233	239	556.5026	203.5002	1176	239
1.czi	733553be-276a-4c71-9853-b9f3f45541e0	Cell			CNU	Polygon	2830.6	997.78	1594.5134	147.1016	0.926	53.5912	37.9046	0.698	548.2861	193.0038	1429	240	457.2581	110.185	751	240
1.czi	01a888cc-d8b4-4992-86b8-4546d09acf07	Cell			CNU	Polygon	2757.1	1020.6	1655.5237	157.3111	0.8407	58.902	38.4081	0.7928	312.6884	61.9613	584	210	291.5586	46.305	473	210
1.czi	ba3b6ce9-c124-4dc8-9d6f-fa4979dfa396	Cell			CNU	Polygon	2922.8	1063.4	1307.5999	130.6361	0.9628	45.5104	37.713	0.5304	581.1822	246.4805	2262	266	493.1916	69.4115	780	266
1.czi	1ad1ae78-e285-47a6-b6fc-a847a07ae4bb	Cell			CNU	Polygon	2690.6	1143.4	1747.0392	156.1488	0.9004	58.3225	37.2391	0.7646	451.242	126.06	1207	249	394.116	60.4346	577	249
1.czi	6f95cdc1-b970-41ed-b3c5-f1f5c8864f33	Cell			CNU	Polygon	2898.3	1216.8	1296.8819	129.6707	0.9692	43.9115	37.7645	0.4756	515.007	182.8482	1557	261	441.383	70.1709	631	261
1.czi	2ed9747c-1447-469c-99b8-85d8bf18f892	Cell			CNU	Polygon	2830.8	1235.4	1478.264	139.6404	0.9527	46.041	41.0914	0.3157	384.7219	77.1954	644	229	348.6925	48.8615	505	229
1.czi	ee3a65fd-dd89-42b4-a623-728b9d7e53c8	Cell			CNU	Polygon	2695.7	1297.6	1587.9177	147.3006	0.9197	52.3623	40.7907	0.6167	430.4569	118.5122	1014	225	379.5719	68.2303	553	225
1.czi	b64a4d98-77fa-49ec-aa82-8a109e49f4fc	Cell			CNU	Polygon	2401.1	1478.9	2119.6969	176.9797	0.8504	63.6398	41.836	0.7658	322.1735	66.7328	620	210	288.2442	36.6508	429	210
1.czi	8dabe10a-0e40-455b-8e89-2125c364e42a	Cell			CNU	Polygon	2608.7	1495.6	1527.7318	143.4318	0.9332	50.4534	37.3583	0.6436	383.1257	123.2663	1171	231	331.2353	55.5797	511	231
