Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Area µm^2	Perimeter µm
1.czi	405a2197-51fa-4ba7-aa24-7b286288b84c	Annotation	fiber tracts	Right: fiber tracts	Root object (Image)	Geometry	3775.4	3639.2	1009	997	0	10	1068776.5	11498.3
1.czi	b897ba67-2df1-4815-9332-3029b1c7a6af	Annotation	HPF	Right: HPF	Root object (Image)	Polygon	2821	4253.8	1089	695	0	0	35701.7	755.34
1.czi	bdfb2d0e-02fa-486b-af71-823be83087eb	Annotation	CNU	Right: CNU	Root object (Image)	Geometry	3483.8	2178.8	623	567	0	113	7474644.3	14585.3
1.czi	dbdce54b-8301-4158-9e06-fc5ee618737b	Annotation	CTX	Right: CTX	Root object (Image)	Geometry	4788.1	3747.2	688	567	0	286	8399418.9	16245.8
2.czi	a141acd9-7682-4520-8bd5-9faf65dd6ff9	Annotation	HY	Right: HY	Root object (Image)	Geometry	2207.4	1572	1097	1129	0	0	245253	4293
2.czi	ce39deea-b1d4-41d4-80a5-0a804f5bf0cb	Annotation	fiber tracts	Right: fiber tracts	Root object (Image)	Geometry	2983.2	3897.6	1009	997	0	6	995382.5	13556.6
2.czi	d5a36ba1-7d82-4439-86f7-d7504b898a9c	Annotation	HPF	Right: HPF	Root object (Image)	Polygon	1897.8	4644.6	1089	695	0	0	26565.2	666.44
2.czi	802b939f-6499-4172-a6cd-81733d1eb46c	Annotation	CNU	Right: CNU	Root object (Image)	Geometry	3149.7	2705.1	623	567	0	99	8364302.4	18455.2
2.czi	333bb0f7-c30a-40eb-b801-bdffe4fa55e0	Annotation	CTX	Right: CTX	Root object (Image)	Geometry	4061	4442.4	688	567	0	338	8376281.5	16633.4
3.czi	13176dd7-6b63-4193-88c4-e760554a3fbf	Annotation	fiber tracts	Right: fiber tracts	Root object (Image)	Geometry	2879.5	3037	1009	997	0	4	1022659.5	10622.7
3.czi	abcd7698-fbaf-4cdc-aa8e-ad1b91e18a0d	Annotation	HPF	Right: HPF	Root object (Image)	Polygon	1786.1	3387.1	1089	695	0	0	81827.1	1832.2
3.czi	3c541386-5c3f-4a0d-a244-cc4d62e9ea68	Annotation	CNU	Right: CNU	Root object (Image)	Geometry	2307.6	1731.4	623	567	0	81	6389789.1	13902.9
3.czi	a3f52e68-0e85-43c3-ac38-11fe8d75f2d9	Annotation	CTX	Right: CTX	Root object (Image)	Geometry	3783	3060.1	688	567	0	275	8604008.6	18679.4
4.czi	8971bcc1-d7bf-455f-ad50-29bf23935f14	Annotation	HPF	Right: HPF	Root object (Image)	Polygon	1553.3	4276.9	1089	695	0	0	33591.3	743.83
4.czi	2c010ccb-bde6-4822-a1fa-4dc88d774520	Annotation	fiber tracts	Right: fiber tracts	Root object (Image)	Geometry	2716.3	3749.9	1009	997	0	12	1178084.9	13230.1
